Number,X,Y,Al,Ti,Cr,Fe,Co,Ni,Cu,Zr,Mo,W,Mn,Si,Mg,Resistance,Thickness,Resistivity,Ex_resistivity,ravg,delta,dHmix,ENavg,dEN,N,Compo
1,-41,-11,0,0,0,0,100,0,0,0,0,0,0,0,0,0.185,97.44348947,8.166251635,1.926251635,0.125,0,0,1.88,0,1,Co
2,-41,-9,0,0,0,0,100,0,0,0,0,0,0,0,0,0.185,97.35711916,8.159013371,1.919013371,0.125,0,0,1.88,0,1,Co
3,-41,-7,0,0,0,0,100,0,0,0,0,0,0,0,0,0.184,97.27074885,8.107711458,1.867711458,0.125,0,0,1.88,0,1,Co
4,-41,-5,0,0,0,0,100,0,0,0,0,0,0,0,0,0.184,97.18437853,8.100512319,1.860512319,0.125,0,0,1.88,0,1,Co
5,-41,-3,0,0,0,0,100,0,0,0,0,0,0,0,0,0.184,97.09800822,8.093313181,1.853313181,0.125,0,0,1.88,0,1,Co
6,-41,-1,0,0,0,0,100,0,0,0,0,0,0,0,0,0.184,97.01163791,8.086114043,1.846114043,0.125,0,0,1.88,0,1,Co
7,-41,1,0,0,0,0,100,0,0,0,0,0,0,0,0,0.184,96.92526759,8.078914904,1.838914904,0.125,0,0,1.88,0,1,Co
8,-41,3,0,0,0,0,100,0,0,0,0,0,0,0,0,0.184,96.83889728,8.071715766,1.831715766,0.125,0,0,1.88,0,1,Co
9,-41,5,0,0,0,0,100,0,0,0,0,0,0,0,0,0.183,96.75252697,8.020687733,1.780687733,0.125,0,0,1.88,0,1,Co
10,-41,7,0,0,0,0,100,0,0,0,0,0,0,0,0,0.183,96.66615665,8.01352772,1.77352772,0.125,0,0,1.88,0,1,Co
11,-41,9,0,0,0,0,100,0,0,0,0,0,0,0,0,0.183,96.57978634,8.006367708,1.766367708,0.125,0,0,1.88,0,1,Co
12,-41,11,0,0,0,0,100,0,0,0,0,0,0,0,0,0.183,96.49341603,7.999207695,1.759207695,0.125,0,0,1.88,0,1,Co
13,-39,-17,0,0,0,0,100,0,0,0,0,0,0,0,0,0.181,100.2184441,8.217210887,1.977210887,0.125,0,0,1.88,0,1,Co
14,-39,-15,0,0,0,0,100,0,0,0,0,0,0,0,0,0.18,100.130324,8.164626619,1.924626619,0.125,0,0,1.88,0,1,Co
15,-39,-13,0,0,0,0,100,0,0,0,0,0,0,0,0,0.18,100.0422038,8.157441298,1.917441298,0.125,0,0,1.88,0,1,Co
16,-39,-11,0,0,0,0,100,0,0,0,0,0,0,0,0,0.18,99.95408362,8.150255978,1.910255978,0.125,0,0,1.88,0,1,Co
17,-39,-9,0,0,0,0,100,0,0,0,0,0,0,0,0,0.18,99.86596346,8.143070661,1.903070661,0.125,0,0,1.88,0,1,Co
18,-39,-7,0,0,0,0,100,0,0,0,0,0,0,0,0,0.179,99.77784329,8.090685979,1.850685979,0.125,0,0,1.88,0,1,Co
19,-39,-5,0,0,0,0,100,0,0,0,0,0,0,0,0,0.179,99.68972313,8.083540579,1.843540579,0.125,0,0,1.88,0,1,Co
20,-39,-3,0,0,0,0,100,0,0,0,0,0,0,0,0,0.179,99.60160296,8.076395179,1.836395179,0.125,0,0,1.88,0,1,Co
21,-39,-1,0,0,0,0,100,0,0,0,0,0,0,0,0,0.179,99.51348279,8.069249779,1.829249779,0.125,0,0,1.88,0,1,Co
22,-39,1,0,0,0,0,100,0,0,0,0,0,0,0,0,0.179,99.42536263,8.06210438,1.82210438,0.125,0,0,1.88,0,1,Co
23,-39,3,0,0,0,0,100,0,0,0,0,0,0,0,0,0.178,99.33724246,8.009959209,1.769959209,0.125,0,0,1.88,0,1,Co
24,-39,5,0,0,0,0,100,0,0,0,0,0,0,0,0,0.178,99.2491223,8.002853728,1.762853728,0.125,0,0,1.88,0,1,Co
25,-39,7,0,0,0,0,100,0,0,0,0,0,0,0,0,0.178,99.16100213,7.995748246,1.755748246,0.125,0,0,1.88,0,1,Co
26,-39,9,0,0,0,0,100,0,0,0,0,0,0,0,0,0.178,99.07288197,7.988642765,1.748642765,0.125,0,0,1.88,0,1,Co
27,-39,11,0,0,0,0,100,0,0,0,0,0,0,0,0,0.178,98.9847618,7.981537283,1.741537283,0.125,0,0,1.88,0,1,Co
28,-39,13,0,0,0,0,100,0,0,0,0,0,0,0,0,0.178,98.89664163,7.974431801,1.734431801,0.125,0,0,1.88,0,1,Co
29,-39,15,0,0,0,0,100,0,0,0,0,0,0,0,0,0.178,98.80852147,7.96732632,1.72732632,0.125,0,0,1.88,0,1,Co
30,-39,17,0,0,0,0,100,0,0,0,0,0,0,0,0,0.177,98.7204013,7.915500497,1.675500497,0.125,0,0,1.88,0,1,Co
31,-37,-21,0,0,0,0,100,0,0,0,0,0,0,0,0,0.175,102.9140279,8.158509562,1.918509562,0.125,0,0,1.88,0,1,Co
32,-37,-19,0,0,0,0,100,0,0,0,0,0,0,0,0,0.175,102.8241579,8.151385118,1.911385118,0.125,0,0,1.88,0,1,Co
33,-37,-17,0,0,0,0,100,0,0,0,0,0,0,0,0,0.174,102.7342878,8.097722033,1.857722033,0.125,0,0,1.88,0,1,Co
34,-37,-15,0,0,0,0,100,0,0,0,0,0,0,0,0,0.174,102.6444178,8.0906383,1.8506383,0.125,0,0,1.88,0,1,Co
35,-37,-13,0,0,0,0,100,0,0,0,0,0,0,0,0,0.174,102.5545478,8.083554567,1.843554567,0.125,0,0,1.88,0,1,Co
36,-37,-11,0,0,0,0,100,0,0,0,0,0,0,0,0,0.175,102.4646778,8.122887333,1.882887333,0.125,0,0,1.88,0,1,Co
37,-37,-9,0,0,0,0,100,0,0,0,0,0,0,0,0,0.175,102.3748078,8.115762888,1.875762888,0.125,0,0,1.88,0,1,Co
38,-37,-7,0,0,0,0,100,0,0,0,0,0,0,0,0,0.174,102.2849377,8.062303359,1.822303359,0.125,0,0,1.88,0,1,Co
39,-37,-5,0,0,0,0,100,0,0,0,0,0,0,0,0,0.174,102.1950677,8.055219626,1.815219626,0.125,0,0,1.88,0,1,Co
40,-37,-3,0,0,0,0,100,0,0,0,0,0,0,0,0,0.174,102.1051977,8.048135893,1.808135893,0.125,0,0,1.88,0,1,Co
41,-37,-1,0,0,0,0,100,0,0,0,0,0,0,0,0,0.174,102.0153277,8.04105216,1.80105216,0.125,0,0,1.88,0,1,Co
42,-37,1,0,0,0,0,100,0,0,0,0,0,0,0,0,0.174,101.9254577,8.033968427,1.793968427,0.125,0,0,1.88,0,1,Co
43,-37,3,0,0,0,0,100,0,0,0,0,0,0,0,0,0.173,101.8355876,7.980753165,1.740753165,0.125,0,0,1.88,0,1,Co
44,-37,5,0,0,0,0,100,0,0,0,0,0,0,0,0,0.173,101.7457176,7.973710143,1.733710143,0.125,0,0,1.88,0,1,Co
45,-37,7,0,0,0,0,100,0,0,0,0,0,0,0,0,0.174,101.6558476,8.01271722,1.77271722,0.125,0,0,1.88,0,1,Co
46,-37,9,0,0,0,0,100,0,0,0,0,0,0,0,0,0.173,101.5659776,7.959624099,1.719624099,0.125,0,0,1.88,0,1,Co
47,-37,11,0,0,0,0,100,0,0,0,0,0,0,0,0,0.173,101.4761076,7.952581077,1.712581077,0.125,0,0,1.88,0,1,Co
48,-37,13,0,0,0,0,100,0,0,0,0,0,0,0,0,0.172,101.3862376,7.899610089,1.659610089,0.125,0,0,1.88,0,1,Co
49,-37,15,0,0,0,0,100,0,0,0,0,0,0,0,0,0.173,101.2963675,7.938495025,1.698495025,0.125,0,0,1.88,0,1,Co
50,-37,17,0,0,0,0,100,0,0,0,0,0,0,0,0,0.172,101.2064975,7.885605459,1.645605459,0.125,0,0,1.88,0,1,Co
51,-37,19,0,0,0,0,100,0,0,0,0,0,0,0,0,0.173,101.1166275,7.924408981,1.684408981,0.125,0,0,1.88,0,1,Co
52,-37,21,0,0,0,0,100,0,0,0,0,0,0,0,0,0.172,101.0267575,7.871600837,1.631600837,0.125,0,0,1.88,0,1,Co
53,-35,-23,0,0,0,0,100,0,0,0,0,0,0,0,0,0.17,105.5249912,8.126479572,1.886479572,0.125,0,0,1.88,0,1,Co
