feature,importance
사번,0.05359158339378867
연봉/프로젝트비율,0.05336386048483574
연봉/나이,0.05128764371393437
연봉/경력비율,0.049809657530070564
연봉×평판점수,0.048484694668960916
월급,0.04675221615625151
근속/나이비율,0.03949572255705341
경력/나이비율,0.038737178910660024
거리,0.037385633446265526
나이,0.036671112064969084
프로젝트참여율,0.03565266370160132
프로젝트밀도지수,0.034412564302140784
교육출장참여율,0.03242427497596291
입사나이,0.03158864663614809
이직률,0.030131871541096457
경력-근속연차,0.028901334354335048
현직근속비율,0.02808947794312348
근속연차차이,0.026887599506811296
현회사근속년수,0.026160063725727666
경력,0.02266888143581429
직급,0.02116703983030633
평판×근속연차,0.021107716735919886
학력,0.020084014595958093
이직회수,0.01771197350736192
만족도,0.017125229375452373
전년도교육출장횟수,0.016937847814658825
전공,0.016174965174577092
워라밸,0.01572647171814321
직업만족도,0.0154121941181489
주변평가,0.014816161995827326
참여프로젝트,0.013097476522163946
스톡옵션레벨,0.013052790593313962
결혼여부,0.012968705107558697
근속연차,0.007102976569740469
부서,0.007080336068381198
성별,0.006721627117722682
야근,0.006280159890555405
회사와의마찰,0.004935632214658468
성인여부,0.0
출장,0.0
근무기준시간,0.0
