,abs_corr_to_target,rf_importance,perm_importance,combined_score,kept,dropped_reason
월급,0.01712013823739081,0.13114815817272446,0.0,0.6048087771021512,True,
나이,0.0019038955127584597,0.10323795470538447,0.0,0.4052484195018019,True,
경력,0.006743667905952999,0.08533056122022756,0.0,0.3666056892381284,True,
주변평가,0.03135145544245523,0.04328198661461036,0.0,0.35694410892297634,True,
만족도,0.029547952297680802,0.044182700011975426,0.0,0.3493370910462883,True,
현회사근속년수,0.0034351261159237187,0.08071942116801047,0.0,0.3287710447361538,True,
참여프로젝트,0.029071333439069855,0.038897821261279546,0.0,0.32627074472059153,True,
이직회수,0.01409487275353526,0.056514459129510336,0.0,0.3017485885893914,True,
전년도교육출장횟수,0.015578881739137367,0.049506183047667386,0.0,0.2841147033044725,True,
부서,0.03266928345267264,0.01844339240221899,0.0,0.27031510262587416,True,
직급,0.008582143716069215,0.05092687680653766,0.0,0.2466973324270621,True,
전공,0.011973446996822545,0.041968444473723394,0.0,0.2333048880914938,True,
근속연차,0.021222082108857367,0.02599990800188318,0.0,0.22904489033586756,False,high_collinearity(>|0.90|)
직업만족도,0.0022971970637803976,0.043997716697864335,0.0,0.18180385077757658,True,
성별,0.013859018361689106,0.02177232363575732,0.0,0.16785092953895422,True,
워라밸,0.0025723613176826705,0.03632880553249562,0.0,0.15425080871759347,True,
스톡옵션레벨,0.0035064716148101157,0.03412762386401534,0.0,0.1515774276439552,True,
결혼여부,0.005206626005852063,0.029696230827745473,0.0,0.1450910959548368,True,
출장,0.0016833372031894393,0.0322830249913279,0.0,0.13338377419110076,True,
야근,0.004369120061651735,0.0190877123558111,0.0,0.0995191329190388,True,
회사와의마찰,0.0028887517110807517,0.012548695079229767,0.0,0.06552649315459051,True,
근무기준시간,0.0,0.0,0.0,0.0,True,
