feature,importance
연봉/나이,0.07062652497991277
연봉/프로젝트비율,0.07047834322085265
연봉×평판점수,0.06963570017201083
연봉/경력비율,0.06787665711478227
월급,0.06708908478830512
경력/나이비율,0.056410139156130794
근속/나이비율,0.049777256894133155
프로젝트밀도지수,0.04559046768934358
나이,0.04536234811807048
교육출장참여율,0.043181864704542
이직률,0.04247933305657715
입사나이,0.041478792201338044
프로젝트참여율,0.04027839487782329
현직근속비율,0.033987451266300955
근속연차차이,0.03385587340907917
현회사근속년수,0.030942774306556512
경력-근속연차,0.027958622539795874
경력,0.027251571420038066
이직회수,0.023107901872990416
평판×근속연차,0.022767713482185953
전년도교육출장횟수,0.02245763184618991
주변평가,0.018257716073612682
출장_등급,0.014519486397261885
참여프로젝트,0.014384282148535595
출장,0.014090486443947031
근속연차,0.006153581819683801
