연도,월,지역명,평당분양가격,전용면적
2015,10,서울,19275.3,모든면적
2015,10,서울,18651.6,60㎡
2015,10,서울,19410.6,60㎡~85㎡
2015,10,서울,18879.3,85㎡~102㎡
2015,10,서울,19400.7,102㎡~
2015,10,인천,10437.9,모든면적
2015,10,인천,11510.4,60㎡
2015,10,인천,10292.699999999999,60㎡~85㎡
2015,10,인천,11698.5,85㎡~102㎡
2015,10,인천,11246.4,102㎡~
2015,10,경기,10355.4,모든면적
2015,10,경기,10315.8,60㎡
2015,10,경기,10688.699999999999,60㎡~85㎡
2015,10,경기,11536.8,85㎡~102㎡
2015,10,경기,12144.0,102㎡~
2015,10,부산,10269.599999999999,모든면적
2015,10,부산,9735.0,60㎡
2015,10,부산,9896.699999999999,60㎡~85㎡
2015,10,부산,9758.1,85㎡~102㎡
2015,10,부산,11550.0,102㎡~
2015,10,대구,8850.6,모든면적
2015,10,대구,8626.199999999999,60㎡
2015,10,대구,8896.8,60㎡~85㎡
2015,10,대구,8438.1,85㎡~102㎡
2015,10,대구,8573.4,102㎡~
2015,10,광주,7986.0,모든면적
2015,10,광주,7434.9,60㎡
2015,10,광주,8048.7,60㎡~85㎡
2015,10,광주,,85㎡~102㎡
2015,10,광주,,102㎡~
2015,10,대전,8098.2,모든면적
2015,10,대전,8530.5,60㎡
2015,10,대전,8012.4,60㎡~85㎡
2015,10,대전,8121.299999999999,85㎡~102㎡
2015,10,대전,,102㎡~
2015,10,울산,10074.9,모든면적
2015,10,울산,7992.599999999999,60㎡
2015,10,울산,10032.0,60㎡~85㎡
2015,10,울산,9738.3,85㎡~102㎡
2015,10,울산,8877.0,102㎡~
2015,10,세종,8718.6,모든면적
2015,10,세종,8487.6,60㎡
2015,10,세종,8768.1,60㎡~85㎡
2015,10,세종,8725.199999999999,85㎡~102㎡
2015,10,세종,8883.6,102㎡~
2015,10,강원,7151.099999999999,모든면적
2015,10,강원,7543.799999999999,60㎡
2015,10,강원,7299.599999999999,60㎡~85㎡
2015,10,강원,6801.299999999999,85㎡~102㎡
2015,10,강원,7164.299999999999,102㎡~
2015,10,충북,6705.599999999999,모든면적
2015,10,충북,6332.7,60㎡
2015,10,충북,6708.9,60㎡~85㎡
2015,10,충북,6936.599999999999,85㎡~102㎡
2015,10,충북,7817.7,102㎡~
2015,10,충남,6926.7,모든면적
2015,10,충남,7279.799999999999,60㎡
2015,10,충남,6933.299999999999,60㎡~85㎡
2015,10,충남,9051.9,85㎡~102㎡
2015,10,충남,8058.599999999999,102㎡~
2015,10,전북,6778.2,모든면적
2015,10,전북,7019.099999999999,60㎡
2015,10,전북,6784.799999999999,60㎡~85㎡
2015,10,전북,7844.099999999999,85㎡~102㎡
2015,10,전북,7425.0,102㎡~
2015,10,전남,6352.5,모든면적
2015,10,전남,6596.7,60㎡
2015,10,전남,6342.599999999999,60㎡~85㎡
2015,10,전남,7464.599999999999,85㎡~102㎡
2015,10,전남,7563.599999999999,102㎡~
2015,10,경북,7088.4,모든면적
2015,10,경북,7273.2,60㎡
2015,10,경북,7078.5,60㎡~85㎡
2015,10,경북,7616.4,85㎡~102㎡
2015,10,경북,7332.599999999999,102㎡~
2015,10,경남,7560.299999999999,모든면적
2015,10,경남,7388.7,60㎡
2015,10,경남,7606.5,60㎡~85㎡
2015,10,경남,9537.0,85㎡~102㎡
2015,10,경남,9946.199999999999,102㎡~
2015,10,제주,7365.599999999999,모든면적
2015,10,제주,,60㎡
2015,10,제주,7342.5,60㎡~85㎡
2015,10,제주,8523.9,85㎡~102㎡
2015,10,제주,8494.199999999999,102㎡~
2015,11,서울,19965.0,모든면적
2015,11,서울,20856.0,60㎡
2015,11,서울,19681.2,60㎡~85㎡
2015,11,서울,23403.6,85㎡~102㎡
2015,11,서울,21618.3,102㎡~
2015,11,인천,10507.199999999999,모든면적
2015,11,인천,10982.4,60㎡
2015,11,인천,10292.699999999999,60㎡~85㎡
2015,11,인천,11698.5,85㎡~102㎡
2015,11,인천,11246.4,102㎡~
2015,11,경기,10223.4,모든면적
2015,11,경기,10160.699999999999,60㎡
2015,11,경기,10566.599999999999,60㎡~85㎡
2015,11,경기,11190.3,85㎡~102㎡
2015,11,경기,12289.199999999999,102㎡~
2015,11,부산,10332.3,모든면적
2015,11,부산,9840.6,60㎡
2015,11,부산,10022.1,60㎡~85㎡
2015,11,부산,9758.1,85㎡~102㎡
2015,11,부산,12338.699999999999,102㎡~
2015,11,대구,9071.699999999999,모든면적
2015,11,대구,8259.9,60㎡
2015,11,대구,9259.8,60㎡~85㎡
2015,11,대구,8438.1,85㎡~102㎡
2015,11,대구,9051.9,102㎡~
2015,11,광주,7999.2,모든면적
2015,11,광주,7428.299999999999,60㎡
2015,11,광주,8065.2,60㎡~85㎡
2015,11,광주,,85㎡~102㎡
2015,11,광주,,102㎡~
2015,11,대전,8098.2,모든면적
2015,11,대전,8530.5,60㎡
2015,11,대전,8012.4,60㎡~85㎡
2015,11,대전,8121.299999999999,85㎡~102㎡
2015,11,대전,,102㎡~
2015,11,울산,10041.9,모든면적
2015,11,울산,8527.199999999999,60㎡
2015,11,울산,10058.4,60㎡~85㎡
2015,11,울산,8787.9,85㎡~102㎡
2015,11,울산,9484.199999999999,102㎡~
2015,11,세종,8738.4,모든면적
2015,11,세종,8487.6,60㎡
2015,11,세종,8797.8,60㎡~85㎡
2015,11,세종,8725.199999999999,85㎡~102㎡
2015,11,세종,9071.699999999999,102㎡~
2015,11,강원,7164.299999999999,모든면적
2015,11,강원,7563.599999999999,60㎡
2015,11,강원,7236.9,60㎡~85㎡
2015,11,강원,6801.299999999999,85㎡~102㎡
2015,11,강원,7164.299999999999,102㎡~
2015,11,충북,6613.2,모든면적
2015,11,충북,6339.299999999999,60㎡
2015,11,충북,6649.5,60㎡~85㎡
2015,11,충북,6164.4,85㎡~102㎡
2015,11,충북,7514.099999999999,102㎡~
2015,11,충남,6930.0,모든면적
2015,11,충남,7306.2,60㎡
2015,11,충남,6946.5,60㎡~85㎡
2015,11,충남,8325.9,85㎡~102㎡
2015,11,충남,8144.4,102㎡~
2015,11,전북,6788.099999999999,모든면적
2015,11,전북,7025.7,60㎡
2015,11,전북,6788.099999999999,60㎡~85㎡
2015,11,전북,7844.099999999999,85㎡~102㎡
2015,11,전북,7530.599999999999,102㎡~
2015,11,전남,6299.7,모든면적
2015,11,전남,6596.7,60㎡
2015,11,전남,6289.799999999999,60㎡~85㎡
2015,11,전남,7464.599999999999,85㎡~102㎡
2015,11,전남,7180.799999999999,102㎡~
2015,11,경북,7227.0,모든면적
2015,11,경북,7293.0,60㎡
2015,11,경북,7213.799999999999,60㎡~85㎡
2015,11,경북,8302.8,85㎡~102㎡
2015,11,경북,7821.0,102㎡~
2015,11,경남,7583.4,모든면적
2015,11,경남,7260.0,60㎡
2015,11,경남,7662.599999999999,60㎡~85㎡
2015,11,경남,9834.0,85㎡~102㎡
2015,11,경남,10041.9,102㎡~
2015,11,제주,7365.599999999999,모든면적
2015,11,제주,,60㎡
2015,11,제주,7342.5,60㎡~85㎡
2015,11,제주,8523.9,85㎡~102㎡
2015,11,제주,8494.199999999999,102㎡~
2015,12,서울,19935.3,모든면적
2015,12,서울,20859.3,60㎡
2015,12,서울,19687.8,60㎡~85㎡
2015,12,서울,21492.899999999998,85㎡~102㎡
2015,12,서울,21618.3,102㎡~
2015,12,인천,10507.199999999999,모든면적
2015,12,인천,10982.4,60㎡
2015,12,인천,10292.699999999999,60㎡~85㎡
